partner_id,partner_name,total_bookings,total_cancellations,cancellation_rate,avg_rate,std_rate,z_score,is_outlier_flag
PRT0004,hertz,846,137,0.16193853427895981087,0.13803864765590491921,0.0107915255337721346887075370488068421391,2.2146902723122948177900155817579370613553,1
PRT0013,national,826,129,0.15617433414043583535,0.13803864765590491921,0.0107915255337721346887075370488068421391,1.6805489110668544465274540881612458072654,0
PRT0020,topdrive,871,133,0.15269804822043628014,0.13803864765590491921,0.0107915255337721346887075370488068421391,1.3584178176342808465137681221976241986570,0
PRT0017,flexways,843,125,0.14827995255041518387,0.13803864765590491921,0.0107915255337721346887075370488068421391,0.9490136369005520390212085741439102093008,0
PRT0001,localiza,867,122,0.14071510957324106113,0.13803864765590491921,0.0107915255337721346887075370488068421391,0.2480151586501964506523565437989604524193,0
PRT0016,foco rent a car,806,113,0.14019851116625310174,0.13803864765590491921,0.0107915255337721346887075370488068421391,0.2001444099436060786950500594886752829156,0
PRT0012,alamo,827,115,0.13905683192261185006,0.13803864765590491921,0.0107915255337721346887075370488068421391,0.0943503551486319471693794588559584161317,0
PRT0015,ok rent a car,807,111,0.13754646840148698885,0.13803864765590491921,0.0107915255337721346887075370488068421391,-0.0456079404971663043056461832975328345579,0
PRT0009,thrifty,847,114,0.13459268004722550177,0.13803864765590491921,0.0107915255337721346887075370488068421391,-0.3193216378810617717080024536051830443233,0
PRT0003,unidas,825,111,0.13454545454545454545,0.13803864765590491921,0.0107915255337721346887075370488068421391,-0.3236978033845546624208087627012611969840,0
PRT0011,fox rent a car,876,117,0.13356164383561643836,0.13803864765590491921,0.0107915255337721346887075370488068421391,-0.4148629224179356622704224068319021707660,0
PRT0002,movida,882,117,0.13265306122448979592,0.13803864765590491921,0.0107915255337721346887075370488068421391,-0.4990570067745197692270373252962426727228,0
PRT0014,sixt,865,114,0.13179190751445086705,0.13803864765590491921,0.0107915255337721346887075370488068421391,-0.5788560775679811666105225293843498595054,0
PRT0010,europcar,846,110,0.13002364066193853428,0.13803864765590491921,0.0107915255337721346887075370488068421391,-0.7427130639577675370322406582989749180886,0
PRT0005,avis,851,107,0.12573443008225616921,0.13803864765590491921,0.0107915255337721346887075370488068421391,-1.1401740685450484075235670424954958978651,0
PRT0008,dollar,806,100,0.12406947890818858561,0.13803864765590491921,0.0107915255337721346887075370488068421391,-1.2944572761283609181867300793909071515174,0
PRT0007,enterprise,845,104,0.12307692307692307692,0.13803864765590491921,0.0107915255337721346887075370488068421391,-1.3864327645020204261576019417378421437035,0
